id,full_name,credit_sco,gender,age,occupation,balance,monthly_ir,address,origin_province,tenure_ye,married,nums_card,nums_service,active_member,last_active_date,last_transaction_month,created_date,exit,customer_segment,engagement_score,loyalty_level,digital_behavior,risk_score,risk_segment,cluster_group
24509,Bùi Hữu Mai,684,female,45,Giáo viên/Giảng viên,36752208,16000000,Phường Tân Sơn Nhì (Tân Phú),Tỉnh khác,2,1,4,2,False,05/10/2024,0,30/11/2022,False,Emerging,20,Bronze,offline,0.3189,Low,2
24510,Hoàng Hữu Hưng,702,male,56,Nội trợ/Sinh viên,5551674,9000000,Phường Chợ Quán (Q5),Bình Dương,0,1,1,6,True,21/04/2025,12047712,15/10/2024,False,Mass,79,Bronze,mobile,0.1847,Low,1
24511,Bùi Văn Nam,674,male,90,Giáo viên/Giảng viên,63158586,17000000,Phường An Hội (BT),TP. Hồ Chí Minh,3,1,4,1,False,12/08/2024,0,03/07/2021,False,Emerging,16,Bronze,offline,0.3328,Low,2
24512,Hoàng Đức Vũ,685,male,45,Kế toán/Tài chính,3969068,25000000,Phường 14 (Q12),Long An,3,0,2,5,False,03/12/2021,0,20/11/2021,False,Emerging,25,Bronze,offline,0.2892,Low,2
24513,Lê Đức Bảo,642,male,26,Lao động phổ thông,7746735,13000000,Xã Xuân Thới Đông (HM),Cần Thơ,1,1,1,1,False,30/03/2025,0,29/04/2024,False,Mass,7,Bronze,offline,0.3981,Low,1
24514,Đặng Hoàng Yến,657,female,75,Kế toán/Tài chính,38254597,27000000,Linh Trung (TP Thủ Đức),Bà Rịa - Vũng Tàu,2,1,4,2,False,12/10/2023,0,02/11/2022,True,Emerging,20,Bronze,offline,0.3234,Low,2
24515,Phạm Trần Mai,768,female,53,Chủ Doanh nghiệp nhỏ,167285727,94000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,3,1,2,5,False,06/03/2022,0,28/02/2022,False,Priority,25,Bronze,offline,0.1791,Low,4
24516,Vũ Quang Quang,676,male,55,Hưu trí,13890334,7000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,2,1,2,2,False,13/06/2023,0,14/10/2022,False,Mass,14,Bronze,offline,0.3566,Low,2
24517,Phạm Kim Vũ,663,male,77,Nhân viên văn phòng/Công chức,31133634,15000000,Phường An Hội (BT),TP. Hồ Chí Minh,1,1,4,4,False,23/10/2024,0,07/12/2023,False,Emerging,27,Bronze,offline,0.3189,Low,1
24518,Đặng Minh Trọng,663,male,33,Kinh doanh/Bán hàng,8452314,25000000,Xã Vĩnh Lộc A (BC),Bình Dương,0,2,2,5,True,27/05/2025,5432431,05/03/2025,False,Emerging,67,Bronze,mobile,0.1971,Low,1
24519,Vũ Thị Chi,669,female,70,Hưu trí,17421970,11000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,3,0,3,6,False,20/08/2024,0,13/01/2022,False,Mass,31,Bronze,offline,0.3029,Low,2
24520,Dương Thị Hồng,649,female,45,Kỹ sư/Chuyên viên IT,19308905,35000000,Phường 7 (Q7),TP. Hồ Chí Minh,0,0,1,6,False,18/03/2025,0,19/02/2025,False,Affluent,26,Bronze,offline,0.2736,Low,1
24521,Đặng Kim Khoa,644,male,23,Nhân viên văn phòng/Công chức,22842202,17000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,0,0,1,2,False,16/03/2025,0,26/11/2024,True,Emerging,10,Bronze,offline,0.3626,Low,1
24522,Bùi Văn Hưng,744,male,29,Quản lý/Lãnh đạo,78345739,48000000,Linh Trung (TP Thủ Đức),Tỉnh khác,3,1,2,3,False,13/06/2024,0,09/03/2022,False,Affluent,17,Bronze,offline,0.2172,Low,2
24523,Vũ Kim Tú,632,male,71,Hưu trí,25358638,20000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,3,1,1,1,False,28/09/2023,0,08/09/2021,False,Emerging,7,Bronze,offline,0.3798,Low,2
24524,Phạm Thị Yến,640,female,48,Hưu trí,5541657,6000000,Xã Vĩnh Lộc A (BC),TP. Hồ Chí Minh,2,1,2,3,False,19/05/2024,0,10/08/2022,True,Mass,17,Bronze,offline,0.3932,Low,2
24525,Hoàng Trần Bảo,712,male,65,Nhân viên văn phòng/Công chức,15012149,17000000,Phường 14 (Q12),Tỉnh khác,1,1,1,3,False,24/11/2024,0,19/01/2024,False,Emerging,14,Bronze,offline,0.2992,Low,1
24526,Dương Thị Chi,664,female,72,Hưu trí,5138261,6000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,2,1,1,6,False,09/08/2024,0,01/07/2023,False,Mass,26,Bronze,offline,0.3326,Low,2
24527,Nguyễn Đức Duyên,676,female,60,Quản lý/Lãnh đạo,492137637,125000000,Phường Tân Sơn Nhì (Tân Phú),Bình Dương,4,1,4,7,False,10/05/2024,0,18/04/2021,False,Priority,38,Silver,offline,0.1651,Low,4
24528,Đặng Thanh Duyên,625,female,37,Lao động phổ thông,16553360,12000000,Phường Chợ Quán (Q5),Tỉnh khác,1,1,2,6,True,17/05/2025,34373649,15/09/2023,True,Mass,84,Silver,mobile,0.2405,Low,1
24529,Lê Quang Châu,687,male,46,Nhân viên văn phòng/Công chức,239913206,23000000,Phường Quang Trung (GV),Hà Nội,4,0,3,2,False,06/02/2024,0,15/01/2021,False,Affluent,16,Bronze,offline,0.2792,Low,2
24530,Trần Thu Tùng,706,male,47,Hưu trí,14417792,19000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,1,1,1,3,False,12/09/2024,0,24/08/2023,False,Emerging,14,Bronze,offline,0.2956,Low,1
24531,Dương Văn Hương,728,female,41,Chủ Doanh nghiệp nhỏ,174284744,168000000,Phường 2 (Tân Bình),Long An,1,1,4,4,False,12/06/2024,0,12/03/2024,False,Priority,27,Bronze,offline,0.1911,Low,4
24532,Vũ Ngọc Xuân,800,female,41,Chủ Doanh nghiệp nhỏ,169497590,142000000,Phường Hòa Bình (Q11),Đồng Nai,0,1,3,2,True,20/04/2025,105409936,25/10/2024,False,Priority,64,Bronze,mobile,0.1114,Low,3
24533,Trần Ngọc Chi,636,female,60,Nội trợ/Sinh viên,5163939,11000000,Phường Hòa Bình (Q11),TP. Hồ Chí Minh,1,2,1,2,False,29/03/2025,0,02/11/2023,True,Mass,10,Bronze,offline,0.4005,Medium,1
24534,Hoàng Gia Huy,676,male,34,Kế toán/Tài chính,49996328,16000000,Xã Xuân Thới Đông (HM),Đồng Nai,2,1,2,2,False,04/12/2023,0,23/01/2023,False,Emerging,14,Bronze,offline,0.3231,Low,2
24535,Phạm Thanh Phúc,629,male,38,Lao động phổ thông,5353513,10000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,2,1,1,3,False,31/01/2024,0,13/03/2023,True,Mass,14,Bronze,offline,0.3966,Low,2
24536,Bùi Kim Duyên,649,female,58,Hưu trí,32754316,23000000,Phường Quang Trung (GV),Đồng Nai,0,1,1,4,True,08/05/2025,9649655,18/09/2024,False,Emerging,62,Bronze,mobile,0.2112,Low,1
24537,Dương Quang Duyên,708,female,65,Chủ Doanh nghiệp nhỏ,78396025,126000000,Phường Tân Sơn Nhì (Tân Phú),Tỉnh khác,0,1,2,8,False,27/03/2025,0,16/09/2024,False,Priority,36,Bronze,offline,0.1507,Low,4
24538,Lê Anh Khoa,697,male,68,Lao động phổ thông,19615131,15000000,Phường Tân Sơn Nhì (Tân Phú),Đồng Nai,0,1,4,5,True,24/05/2025,16852381,02/04/2025,False,Emerging,82,Bronze,mobile,0.1729,Low,1
24539,Lê Trần Mai,733,female,72,Nhân viên văn phòng/Công chức,19166500,19000000,Thị trấn Tân Túc (BC),Bình Dương,1,0,2,3,False,01/07/2024,0,18/04/2024,True,Emerging,17,Bronze,offline,0.2922,Low,1
24540,Đặng Thu Vũ,681,male,42,Lao động phổ thông,17838379,17000000,Phường 14 (Q12),TP. Hồ Chí Minh,3,1,3,3,False,21/09/2023,0,20/09/2021,False,Emerging,20,Bronze,offline,0.3161,Low,2
24541,Mai Minh Anh,664,male,34,Giáo viên/Giảng viên,27393150,18000000,Phường Quang Trung (GV),Bình Dương,3,1,2,4,False,29/07/2021,0,11/07/2021,False,Emerging,21,Bronze,offline,0.3134,Low,2
24542,Đặng Minh Vân,712,female,42,Chủ Doanh nghiệp nhỏ,74022221,87000000,Phường 14 (Q12),TP. Hồ Chí Minh,3,1,3,5,False,22/06/2023,0,10/10/2021,False,Priority,28,Bronze,offline,0.1889,Low,4
24543,Đặng Minh Hưng,743,male,33,Nhân viên văn phòng/Công chức,8128608,15000000,Phường Tân Sơn Nhì (Tân Phú),TP. Hồ Chí Minh,3,1,1,6,True,13/04/2025,18716126,14/08/2021,False,Emerging,78,Gold,mobile,0.1681,Low,2
24544,Mai Đức Xuân,615,female,54,Giáo viên/Giảng viên,70487874,21000000,Phường 7 (Q7),Bình Dương,3,1,2,3,False,06/03/2024,0,31/03/2022,True,Emerging,17,Bronze,offline,0.3575,Low,2
24545,Bùi Đức Nam,642,male,60,Nội trợ/Sinh viên,24589885,8000000,Phường Hòa Bình (Q11),Long An,1,1,2,2,False,27/01/2024,0,24/01/2024,False,Mass,14,Bronze,offline,0.3817,Low,1
24546,Nguyễn Trần Vân,609,female,59,Giáo viên/Giảng viên,30621118,30000000,Thị trấn Tân Túc (BC),Đồng Nai,1,1,4,3,False,28/09/2024,0,15/09/2023,False,Emerging,23,Bronze,offline,0.3556,Low,1
24547,Đặng Hữu Bảo,657,male,42,Nhân viên văn phòng/Công chức,42135269,26000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,1,0,1,2,False,14/02/2025,0,15/02/2024,False,Emerging,10,Bronze,offline,0.3242,Low,1
24548,Trần Ngọc Nam,664,male,59,Kỹ sư/Chuyên viên IT,37388359,33000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,2,1,3,5,False,01/12/2022,0,18/07/2022,False,Emerging,28,Bronze,offline,0.2671,Low,2
24549,Nguyễn Trần Chi,654,female,54,Nội trợ/Sinh viên,20882341,12000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,2,1,2,3,False,06/04/2024,0,03/09/2022,False,Mass,17,Bronze,offline,0.3512,Low,2
24550,Đặng Thị Huy,770,male,65,Quản lý/Lãnh đạo,144128326,111000000,Phường An Hội (BT),TP. Hồ Chí Minh,1,1,4,4,False,16/02/2025,0,26/12/2023,False,Priority,27,Bronze,offline,0.1934,Low,4
24551,Đặng Thị Dũng,647,male,64,Giáo viên/Giảng viên,16750640,17000000,Phường Quang Trung (GV),Tiền Giang,1,1,2,2,False,17/08/2024,0,21/06/2024,False,Emerging,14,Bronze,offline,0.3633,Low,1
24552,Lê Ngọc Yến,666,female,57,Nhân viên văn phòng/Công chức,51069784,28000000,Phường 14 (Q12),Hà Nội,0,0,1,3,True,09/05/2025,14104480,22/03/2025,False,Emerging,59,Bronze,mobile,0.1914,Low,1
24553,Dương Thị Xuân,794,female,86,Quản lý/Lãnh đạo,252606917,116000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,0,1,1,7,True,21/05/2025,154413096,25/03/2025,False,Priority,83,Bronze,mobile,0.0441,Low,3
24554,Hoàng Văn Ngọc,653,female,53,Kỹ sư/Chuyên viên IT,49230234,37000000,Phường Tân Định (Q1),Tiền Giang,2,1,1,2,False,30/03/2025,0,02/12/2022,False,Affluent,10,Bronze,offline,0.3043,Low,2
24555,Hoàng Hoàng Phúc,629,male,36,Nội trợ/Sinh viên,14365682,12000000,Thị trấn Tân Túc (BC),Tỉnh khác,3,0,2,3,False,25/11/2022,0,04/03/2022,False,Mass,17,Bronze,offline,0.3807,Low,2
24556,Lê Quang Thảo,649,female,70,Kinh doanh/Bán hàng,85251195,32000000,Phường Tân Sơn Nhì (Tân Phú),TP. Hồ Chí Minh,2,1,5,8,False,27/07/2024,0,11/05/2023,False,Emerging,45,Silver,offline,0.2367,Low,4
24557,Trần Hữu Ngọc,690,female,36,Kỹ sư/Chuyên viên IT,99647929,44000000,Phường Tân Sơn Nhì (Tân Phú),TP. Hồ Chí Minh,2,1,5,2,False,30/01/2024,0,02/01/2023,False,Affluent,22,Bronze,offline,0.2448,Low,2
24558,Mai Hữu Tùng,672,male,50,Lao động phổ thông,12906612,12000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,0,1,2,1,True,08/04/2025,24595996,05/11/2024,False,Mass,65,Bronze,mobile,0.259,Low,1
24559,Hoàng Hoàng Quang,685,male,49,Nhân viên văn phòng/Công chức,67544794,16000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,3,1,3,3,True,16/04/2025,20422547,17/06/2022,False,Emerging,73,Gold,mobile,0.193,Low,2
24560,Đặng Xuân Nhiên,742,male,48,Giáo viên/Giảng viên,10587003,31000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,0,1,1,6,False,24/03/2025,0,17/01/2025,False,Emerging,26,Bronze,offline,0.2379,Low,1
24561,Dương Anh Khoa,628,male,30,Nhân viên văn phòng/Công chức,2877549,17000000,Phường An Hội (BT),Đồng Nai,0,0,2,3,False,14/01/2025,0,23/08/2024,True,Emerging,17,Bronze,offline,0.3911,Low,1
24562,Trần Đức Vi,692,female,73,Nhân viên văn phòng/Công chức,22078820,24000000,Phường 14 (Q12),Đồng Nai,0,1,4,7,True,30/06/2025,9925619,20/06/2025,False,Emerging,82,Bronze,mobile,0.1335,Low,1
24563,Nguyễn Quang Hương,777,female,46,Chủ Doanh nghiệp nhỏ,85894809,117000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,1,1,3,5,False,07/02/2024,0,30/10/2023,False,Priority,28,Bronze,offline,0.1871,Low,4
24564,Hoàng Hoàng Minh,634,male,79,Nhân viên văn phòng/Công chức,14187222,13000000,Thị trấn Tân Túc (BC),Đồng Nai,2,1,2,3,False,04/02/2025,0,24/10/2022,True,Mass,17,Bronze,offline,0.3738,Low,2
24565,Phạm Minh Xuân,800,female,45,Quản lý/Lãnh đạo,147970257,114000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,0,0,3,8,False,15/01/2025,0,05/07/2024,False,Priority,39,Bronze,offline,0.1431,Low,4
24566,Trần Anh Minh,633,male,26,Hưu trí,21555624,7000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,3,0,1,3,False,01/08/2023,0,21/11/2021,False,Mass,14,Bronze,offline,0.3818,Low,2
24567,Trần Văn Phúc,680,male,48,Nội trợ/Sinh viên,4827007,6000000,Phường Hòa Bình (Q11),TP. Hồ Chí Minh,0,0,2,1,True,17/06/2025,12423758,02/11/2024,False,Mass,65,Bronze,mobile,0.2748,Low,1
24568,Mai Quang Xuân,684,female,59,Quản lý/Lãnh đạo,244594784,94000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,2,1,1,6,False,06/03/2025,0,03/10/2022,False,Priority,26,Bronze,offline,0.178,Low,4
24569,Lê Hữu Quang,701,male,50,Chủ Doanh nghiệp nhỏ,86794605,104000000,Phường Quang Trung (GV),Đồng Nai,2,1,4,8,True,06/06/2025,67708577,06/10/2022,False,Priority,89,Silver,mobile,0.0445,Low,4
24570,Lê Gia Lan,662,female,42,Nội trợ/Sinh viên,16240061,7000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,3,1,2,2,False,19/08/2024,0,27/11/2021,False,Mass,14,Bronze,offline,0.3687,Low,2
24571,Đặng Thanh Vân,756,female,35,Nhân viên văn phòng/Công chức,13769992,30000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,4,1,2,1,False,02/07/2022,0,21/03/2021,False,Emerging,10,Bronze,offline,0.2992,Low,2
24572,Trần Hữu Thảo,719,female,41,Giáo viên/Giảng viên,11685275,15000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,1,1,3,3,False,29/09/2024,0,02/10/2023,False,Emerging,20,Bronze,offline,0.3062,Low,1
24573,Nguyễn Xuân Minh,656,male,57,Hưu trí,23760753,15000000,Linh Trung (TP Thủ Đức),Tiền Giang,4,0,3,5,False,23/05/2024,0,11/02/2021,False,Emerging,28,Bronze,offline,0.3166,Low,2
24574,Dương Trần Anh,800,male,62,Chủ Doanh nghiệp nhỏ,85004241,158000000,Xã Vĩnh Lộc A (BC),Đồng Nai,1,0,2,4,False,02/02/2025,0,03/09/2023,False,Priority,21,Bronze,offline,0.1997,Low,4
24575,Nguyễn Hoàng Bảo,627,male,38,Kế toán/Tài chính,125306093,31000000,Phường Quang Trung (GV),Tiền Giang,3,0,2,4,False,08/12/2023,0,26/01/2022,False,Emerging,21,Bronze,offline,0.3061,Low,2
24576,Bùi Thị Quang,764,male,65,Hưu trí,38867015,18000000,Phường Tân Định (Q1),Bà Rịa - Vũng Tàu,4,1,1,3,False,27/11/2023,0,20/01/2021,False,Emerging,14,Bronze,offline,0.2857,Low,2
24577,Vũ Anh Thành,677,male,51,Quản lý/Lãnh đạo,146472732,93000000,Phường 14 (Q12),TP. Hồ Chí Minh,1,1,2,5,False,24/06/2024,0,01/03/2024,False,Priority,25,Bronze,offline,0.2037,Low,4
24578,Trần Minh Vũ,662,male,53,Kế toán/Tài chính,17022463,25000000,Phường 7 (Q7),TP. Hồ Chí Minh,3,1,2,1,False,18/09/2024,0,17/07/2021,True,Emerging,10,Bronze,offline,0.3446,Low,2
24579,Phạm Quang Tùng,705,male,55,Kỹ sư/Chuyên viên IT,56125204,39000000,Phường Hòa Bình (Q11),Bà Rịa - Vũng Tàu,4,0,3,1,False,27/03/2023,0,02/02/2021,False,Affluent,13,Bronze,offline,0.2642,Low,2
24580,Vũ Hoàng Lan,715,female,41,Kỹ sư/Chuyên viên IT,255021068,38000000,Xã Vĩnh Lộc A (BC),Tiền Giang,4,1,4,4,False,17/04/2023,0,02/04/2021,False,Affluent,27,Bronze,offline,0.2105,Low,4
24581,Mai Thanh Tùng,691,male,76,Hưu trí,3335369,5000000,Phường Quang Trung (GV),Cần Thơ,1,3,4,2,False,15/08/2024,0,03/06/2024,False,Mass,20,Bronze,offline,0.3628,Low,1
24582,Nguyễn Thu Chi,629,female,81,Hưu trí,13234886,19000000,Phường 7 (Q7),Bình Dương,4,1,1,3,False,15/03/2021,0,03/01/2021,False,Emerging,14,Bronze,offline,0.3677,Low,2
24583,Phạm Xuân Quang,712,male,34,Nhân viên văn phòng/Công chức,11350422,19000000,Phường Tân Định (Q1),Tỉnh khác,3,1,2,5,False,30/03/2025,0,28/09/2021,True,Emerging,25,Bronze,offline,0.2735,Low,2
24584,Lê Gia Hương,673,female,31,Chủ Doanh nghiệp nhỏ,55861990,105000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,1,0,5,3,True,15/04/2025,17354660,26/06/2024,False,Priority,68,Silver,mobile,0.1393,Low,4
24585,Phạm Thu Ánh,645,female,52,Hưu trí,9321676,11000000,Linh Trung (TP Thủ Đức),Đồng Nai,1,1,5,1,False,23/01/2024,0,15/01/2024,False,Mass,19,Bronze,offline,0.3969,Low,1
24586,Mai Gia Vi,635,female,37,Kế toán/Tài chính,23524802,21000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,0,1,3,3,True,09/04/2025,20958390,04/10/2024,False,Emerging,70,Bronze,mobile,0.2457,Low,1
24587,Mai Thị Nam,672,male,58,Giáo viên/Giảng viên,57321661,35000000,Xã Vĩnh Lộc A (BC),TP. Hồ Chí Minh,0,1,1,5,True,21/06/2025,9416129,14/06/2025,False,Affluent,64,Bronze,mobile,0.145,Low,1
24588,Nguyễn Hoàng Vũ,655,male,52,Kế toán/Tài chính,35101765,14000000,Phường Quang Trung (GV),Tiền Giang,3,1,2,3,False,11/07/2023,0,03/07/2021,False,Mass,17,Bronze,offline,0.3399,Low,2
24589,Vũ Anh Tú,647,male,41,Nhân viên văn phòng/Công chức,7899323,10000000,Xã Vĩnh Lộc A (BC),Tiền Giang,1,2,2,2,False,21/03/2025,0,26/06/2024,True,Mass,14,Bronze,offline,0.3864,Low,1
24590,Lê Văn Duyên,739,female,31,Kỹ sư/Chuyên viên IT,104701352,35000000,Phường Hòa Bình (Q11),TP. Hồ Chí Minh,2,1,2,3,False,03/12/2022,0,04/07/2022,False,Affluent,17,Bronze,offline,0.2397,Low,2
24591,Dương Ngọc Vân,755,female,50,Chủ Doanh nghiệp nhỏ,231873172,181000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,4,1,3,3,False,25/09/2024,0,02/04/2021,False,Priority,20,Bronze,offline,0.2001,Low,4
24592,Nguyễn Trần Tú,713,male,27,Kỹ sư/Chuyên viên IT,50909467,50000000,Thị trấn Tân Túc (BC),Cần Thơ,3,1,4,4,False,08/10/2023,0,22/12/2021,False,Affluent,27,Bronze,offline,0.2059,Low,2
24593,Bùi Xuân Anh,712,male,62,Nội trợ/Sinh viên,4952829,3000000,Xã Vĩnh Lộc A (BC),TP. Hồ Chí Minh,4,1,1,3,False,18/04/2022,0,21/03/2021,False,Mass,14,Bronze,offline,0.3405,Low,2
24594,Vũ Kim Duyên,796,female,35,Kế toán/Tài chính,8436728,15000000,Phường Vĩnh Hội (Q4),Hà Nội,3,1,2,5,False,07/12/2024,0,27/08/2021,False,Emerging,25,Bronze,offline,0.2851,Low,2
24595,Lê Anh Anh,675,male,49,Giáo viên/Giảng viên,21258700,23000000,Phường Bến Thành (Q1),Bình Dương,1,3,2,3,False,05/05/2024,0,07/11/2023,False,Emerging,17,Bronze,offline,0.308,Low,1
24596,Lê Trần Châu,629,male,34,Hưu trí,9252564,22000000,Phường 2 (Tân Bình),Bình Dương,1,0,5,4,True,07/06/2025,20327795,29/09/2023,False,Emerging,79,Silver,mobile,0.2485,Low,1
24597,Nguyễn Quang Hưng,605,male,46,Kinh doanh/Bán hàng,24134335,14000000,Xã Vĩnh Lộc A (BC),Hà Nội,0,0,4,1,False,23/02/2025,0,14/01/2025,False,Mass,16,Bronze,offline,0.4194,Medium,1
24598,Vũ Ngọc Phúc,648,male,30,Kỹ sư/Chuyên viên IT,21949722,55000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,1,0,3,3,False,07/03/2025,0,13/06/2024,False,Affluent,20,Bronze,offline,0.2806,Low,1
24599,Vũ Thu Hương,674,female,81,Lao động phổ thông,4695839,9000000,Phường An Hội (BT),TP. Hồ Chí Minh,2,3,2,2,False,14/09/2023,0,03/09/2022,False,Mass,14,Bronze,offline,0.3677,Low,2
24600,Nguyễn Quang Linh,712,female,50,Nhân viên văn phòng/Công chức,22262772,14000000,Phường 7 (Q7),TP. Hồ Chí Minh,3,2,2,2,True,08/04/2025,6753766,04/12/2021,False,Mass,58,Gold,mobile,0.2079,Low,2
24601,Đặng Xuân Khoa,729,male,31,Kinh doanh/Bán hàng,84684839,25000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,3,1,2,2,False,29/04/2024,0,16/04/2022,False,Emerging,14,Bronze,offline,0.2748,Low,2
24602,Vũ Văn Trung,632,male,37,Kế toán/Tài chính,11805688,18000000,Thị trấn Tân Túc (BC),Long An,2,1,1,5,False,18/10/2023,0,28/07/2022,True,Emerging,22,Bronze,offline,0.3431,Low,2
24603,Vũ Quang Linh,758,female,37,Kỹ sư/Chuyên viên IT,57792857,36000000,Phường 7 (Q7),TP. Hồ Chí Minh,3,0,5,7,False,26/08/2023,0,11/08/2021,False,Affluent,41,Silver,offline,0.1949,Low,4
24604,Vũ Minh Quang,734,male,58,Giáo viên/Giảng viên,41728349,21000000,Phường An Hội (BT),Long An,2,1,2,1,False,01/03/2023,0,23/10/2022,False,Emerging,10,Bronze,offline,0.3038,Low,2
24605,Trần Ngọc Duyên,631,female,53,Nội trợ/Sinh viên,9641523,13000000,Phường Bến Thành (Q1),TP. Hồ Chí Minh,1,0,3,3,False,24/12/2024,0,14/09/2023,False,Mass,20,Bronze,offline,0.3815,Low,1
24606,Đặng Đức Hương,800,female,38,Chủ Doanh nghiệp nhỏ,378917639,154000000,Phường Tân Sơn Nhì (Tân Phú),Đồng Nai,2,3,2,7,False,25/02/2024,0,15/08/2022,False,Priority,32,Bronze,offline,0.1442,Low,4
24607,Trần Ngọc Hưng,640,male,40,Lao động phổ thông,11410801,8000000,Thị trấn Tân Túc (BC),Hà Nội,2,1,1,5,False,27/10/2023,0,12/03/2023,True,Mass,22,Bronze,offline,0.3555,Low,2
24608,Phạm Văn Hưng,689,male,44,Nhân viên văn phòng/Công chức,26581763,15000000,Xã Vĩnh Lộc A (BC),Bình Dương,1,1,3,1,False,20/03/2025,0,21/04/2024,False,Emerging,13,Bronze,offline,0.3323,Low,1
24609,Đặng Văn Vân,660,female,37,Nội trợ/Sinh viên,2433013,5000000,Xã Vĩnh Lộc A (BC),Đồng Nai,1,1,2,3,False,21/02/2025,0,29/03/2024,False,Mass,17,Bronze,offline,0.3851,Low,1
24610,Bùi Anh Trọng,608,male,37,Giáo viên/Giảng viên,69624365,31000000,Phường Bến Thành (Q1),Hà Nội,3,1,3,4,False,30/11/2023,0,01/10/2021,False,Emerging,24,Bronze,offline,0.3321,Low,2
24611,Phạm Kim Thành,786,male,49,Chủ Doanh nghiệp nhỏ,107853617,167000000,Phường Bến Thành (Q1),Long An,0,1,3,7,True,05/06/2025,172763336,03/06/2025,False,Priority,86,Bronze,mobile,0.0544,Low,3
24612,Trần Ngọc Thảo,713,female,61,Chủ Doanh nghiệp nhỏ,69150405,76000000,Phường Thắng Lợi (Q10),Bình Dương,1,1,4,4,True,30/05/2025,108263058,24/05/2024,False,Priority,81,Silver,mobile,0.0972,Low,3
24613,Nguyễn Quang Hưng,657,male,43,Kinh doanh/Bán hàng,20386548,36000000,Phường Tân Định (Q1),Long An,0,0,2,1,False,16/03/2025,0,08/01/2025,False,Affluent,10,Bronze,offline,0.3255,Low,1
24614,Bùi Thị Hương,614,female,40,Hưu trí,18364896,20000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,4,0,1,4,False,23/02/2024,0,14/02/2021,False,Emerging,18,Bronze,offline,0.3642,Low,2
24615,Đặng Gia Tùng,726,male,49,Kế toán/Tài chính,51242246,39000000,Phường An Hội (BT),TP. Hồ Chí Minh,3,1,2,5,False,15/12/2023,0,10/10/2021,False,Affluent,25,Bronze,offline,0.2153,Low,2
24616,Trần Hữu Quang,630,male,27,Kinh doanh/Bán hàng,8543196,13000000,Thị trấn Tân Túc (BC),Cần Thơ,1,1,1,2,False,13/12/2024,0,06/12/2023,False,Mass,10,Bronze,offline,0.3965,Low,1
24617,Vũ Kim Vân,667,female,54,Kỹ sư/Chuyên viên IT,48808378,60000000,Phường Tân Sơn Nhì (Tân Phú),TP. Hồ Chí Minh,0,1,3,2,False,08/12/2024,0,14/11/2024,False,Priority,16,Bronze,offline,0.2644,Low,1
24618,Nguyễn Xuân Dương,647,female,73,Nội trợ/Sinh viên,21046395,10000000,Phường Hòa Bình (Q11),Đồng Nai,1,1,1,3,True,06/06/2025,9151895,05/09/2023,False,Mass,63,Silver,mobile,0.2571,Low,1
24619,Vũ Thanh Ngọc,718,female,48,Giáo viên/Giảng viên,75651880,25000000,Phường 7 (Q7),Cần Thơ,4,1,1,1,False,28/12/2023,0,26/06/2021,False,Emerging,7,Bronze,offline,0.2886,Low,2
24620,Nguyễn Anh Thành,702,male,41,Lao động phổ thông,8759135,8000000,Phường Quang Trung (GV),Bình Dương,3,1,3,4,False,10/01/2025,0,11/10/2021,True,Mass,24,Bronze,offline,0.3112,Low,2
24621,Lê Hoàng Linh,645,female,42,Kinh doanh/Bán hàng,17218568,16000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,2,0,1,3,False,03/10/2024,0,14/02/2023,False,Emerging,14,Bronze,offline,0.3545,Low,2
